영화명,감독,배급사,y,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
젊은 엄마 3,채길병,골든타이드픽처스(주),2015,2015-09-03,한국,20,4137000,820,885000,176,멜로/로맨스,청소년관람불가,일반영화
기적의 피아노,"임성구,김은주",롯데쇼핑㈜롯데엔터테인먼트,2015,2015-09-03,한국,74,46156800,6514,22829700,3130,다큐멘터리,전체관람가,독립/예술영화
혜경궁 홍씨,장동홍,주식회사 마운틴픽쳐스,2015,2015-06-04,한국,5,6248500,466,3339500,235,공연,12세이상관람가,독립/예술영화
어떤살인,안용훈,"TCO(주)더콘텐츠온,(주)전망좋은 영화사",2015,2015-10-28,한국,179,137025800,17190,38039500,4646,스릴러,청소년관람불가,독립/예술영화
생 로랑,베르트랑 보넬로,(주)팝엔터테인먼트,2015,2015-04-16,프랑스,51,62730900,7839,44542100,5420,드라마,청소년관람불가,독립/예술영화
커밍 홈,막시밀리언 훌트,(재)영화의전당,2015,2015-05-28,스웨덴,11,5531000,911,241000,30,드라마,12세이상관람가,독립/예술영화
테이큰 3,올리비에 메가턴,이십세기폭스코리아(주),2015,2015-01-01,미국,616,15088105000,1860934,4082036100,487343,액션,15세이상관람가,일반영화
오늘의 연애,박진표,(주)씨제이이엔엠,2015,2015-01-14,한국,709,14924654487,1891993,3951958987,480061,멜로/로맨스,15세이상관람가,일반영화
미스트리스 아메리카,노아 바움백,이십세기폭스코리아(주),2015,2015-12-10,미국,26,64720200,7887,54978200,6482,코미디,15세이상관람가,일반영화
데싸우 댄서스,장 마틴 샤프,(주)유로커뮤니케이션,2015,2015-12-24,독일,9,4179000,579,3045000,376,코미디,15세이상관람가,독립/예술영화
앤트맨,페이튼 리드,월트디즈니컴퍼니코리아(주),2015,2015-09-03,미국,949,23502249937,2839921,7332839937,840337,액션,12세이상관람가,일반영화
라이프,안톤 코르빈,"(주)영화사오원,(주)프레인글로벌",2015,2015-10-15,캐나다,99,155668185,19596,100206485,12230,드라마,15세이상관람가,독립/예술영화
위대한 유산,그라함 맥라렌,(주)케빈앤컴퍼니,2015,2015-03-12,영국,5,9252000,574,6544000,386,공연,12세이상관람가,일반영화
리바이어던,안드레이 즈비아긴체프,오드,2015,2015-03-19,러시아,25,74527400,9569,57611800,7068,가족,청소년관람불가,독립/예술영화
윈터 슬립,누리 빌제 세일란,㈜영화사 백두대간,2015,2015-05-07,터키,22,63499300,8097,46821300,5646,드라마,15세이상관람가,독립/예술영화
스윗 프랑세즈,사울 딥,그린나래미디어(주),2015,2015-12-03,영국,94,129079300,17324,77867900,10097,멜로/로맨스,15세이상관람가,독립/예술영화
새폴더2,황상원,더사람픽쳐스,2015,2015-10-23,한국,20,3352000,518,1130000,146,드라마,청소년관람불가,일반영화
유아 낫 유,조지 C. 울프,(주)마인스 엔터테인먼트,2015,2015-01-21,미국,103,138505400,17372,76744100,9322,드라마,15세이상관람가,일반영화
엘리노어 릭비: 그 남자,네드 벤슨,(주)이수C&E,2015,2015-04-09,미국,18,80908700,9593,48722800,5670,드라마,15세이상관람가,독립/예술영화
007 스펙터,샘 멘데스,유니버설픽쳐스인터내셔널 코리아(유),2015,2015-11-11,영국,1105,14302132030,1820842,4498038930,548085,액션,15세이상관람가,일반영화
대호,박훈정,(주)넥스트엔터테인먼트월드(NEW),2015,2015-12-16,한국,892,13489904632,1762742,3054751306,383850,사극,12세이상관람가,일반영화
난 그녀와 키스했다,"막심 고바레,노에미 사글리오",(주)엣나인필름,2015,2015-07-22,프랑스,53,155762798,20056,128464398,16014,코미디,청소년관람불가,독립/예술영화
플랑크 상수,조성규,하준사,2015,2015-04-30,한국,5,4861500,592,4617500,559,드라마,청소년관람불가,독립/예술영화
샌 안드레아스,브래드 페이튼,워너브러더스 코리아(주),2015,2015-06-03,미국,847,14411907152,1714071,3828644552,430540,액션,12세이상관람가,일반영화
뱀파이어 아카데미,마크 워터스,(주)누리픽쳐스,2015,2015-04-09,미국,50,43600500,7649,22549000,3983,액션,15세이상관람가,일반영화
착한 처제,강훈,쟈비스미디어,2015,2015-11-19,한국,19,3723000,588,2034000,266,드라마,청소년관람불가,일반영화
분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아(유),2015,2015-04-01,미국,983,26449334694,3247558,7328474894,864171,액션,15세이상관람가,일반영화
터미네이터 제니시스,앨런 테일러,롯데쇼핑㈜롯데엔터테인먼트,2015,2015-07-02,미국,1113,26546725129,3239371,7364611329,852065,액션,15세이상관람가,일반영화
호수의 여인,,(주) 인스터 글로벌,2015,2015-10-24,미국,3,11524500,504,8968500,394,공연,전체관람가,일반영화
트립 투 이탈리아,마이클 윈터바텀,찬란,2015,2015-06-04,영국,51,148342200,19376,102252900,12714,코미디,15세이상관람가,독립/예술영화
더 기프트,조엘 에저튼,메가박스중앙(주)플러스엠,2015,2015-11-05,호주,116,59383748,7729,20878948,2644,미스터리,15세이상관람가,일반영화
미궁: 비밀애,조조 히데오,(주)케이알씨지,2015,2015-04-23,한국,20,2642000,513,645000,129,멜로/로맨스,청소년관람불가,독립/예술영화
일분만 더,진혜령,"성길시네마,아이제이미디어(주)",2015,2015-04-09,대만,15,4243000,584,2162500,292,멜로/로맨스,15세이상관람가,독립/예술영화
디올 앤 아이,프레드릭 청,(주)영화사 진진,2015,2015-08-06,프랑스,21,78578000,9669,68974300,8287,다큐멘터리,전체관람가,독립/예술영화
이미테이션 게임,모튼 틸덤,메가박스중앙(주)플러스엠,2015,2015-02-17,영국,541,13654746120,1743774,4581883920,569958,드라마,15세이상관람가,일반영화
청춘의 증언,제임스 켄트,판씨네마(주),2015,2015-04-09,영국,86,58406700,7791,27201200,3556,드라마,12세이상관람가,독립/예술영화
유부녀들,경석호,(주)소나무픽쳐스,2015,2015-10-14,한국,20,3405000,516,1823000,215,멜로/로맨스,청소년관람불가,일반영화
극비수사,곽경택,(주)쇼박스,2015,2015-06-18,한국,894,22389535897,2860786,5828885297,717981,드라마,15세이상관람가,일반영화
스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),2015,2015-03-25,한국,926,23558988686,3044134,5990587486,740243,코미디,15세이상관람가,일반영화
