id,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
2864,페이머스 파이브 : 키린섬의 비밀,마이크 마주크,,(주)컴퍼니엘,예지림엔터테인먼트,2013-10-17,개봉영화,장편,독일,71,"50,861,000","7,638","27,554,500","4,039",가족,전체관람가,독립/예술영화
2865,맨 오브 마스크,알베르 뒤퐁텔,,미디어소프트,(주)라이크콘텐츠,2018-04-12,개봉영화,장편,프랑스,56,"60,543,100","7,613","42,036,800","5,144",드라마,12세이상관람가,독립/예술영화
2866,물숨,고희영,영화사 숨비,,(주)영화사 진진,2016-09-29,개봉영화,장편,한국,51,"56,658,500","7,610","31,778,300","4,037",다큐멘터리,전체관람가,독립/예술영화
2867,코멧,샘 에스마일,,(주)우성엔터테인먼트,(주)지어소프트,2015-03-25,개봉영화,장편,미국,121,"57,135,511","7,597","25,817,311","3,337",판타지,15세이상관람가,독립/예술영화
2868,붕붕 달려라 깜이,"우테 폰 뮌쇼폴,잔도르 예세",,(주)블룸즈베리리소시스리미티드,예지림엔터테인먼트,2016-03-24,개봉영화,장편,독일,174,"53,398,100","7,556","14,004,700","1,749",애니메이션,전체관람가,독립/예술영화
2869,마리오네트,앨버트 반 스트리엔,,(주)이놀미디어,(주)이놀미디어,2021-02-17,개봉영화,장편,네덜란드,138,"62,758,000","7,548","18,797,400","2,281",미스터리,12세이상관람가,독립/예술영화
2870,고스트 오브 워,에릭 브레스,,"(주)스톰픽쳐스코리아,(주)팀원픽쳐스",THE 픽쳐스,2020-09-02,개봉영화,장편,영국,228,"64,089,960","7,531","20,411,970","2,350",미스터리,15세이상관람가,독립/예술영화
2871,던전에서 만남을 추구하면 안 되는 걸까? –오리온의 화살–,사쿠라비 카츠시,,(주)애니플러스,(주)애니플러스,2019-04-18,개봉영화,장편,일본,74,"62,165,800","7,526","22,393,400","2,711",애니메이션,12세이상관람가,일반영화
2872,이누야시키 : 히어로 VS 빌런,사토 신스케,,(유)조이앤시네마,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",2020-04-22,개봉영화,장편,일본,185,"60,414,320","7,509","28,301,080","3,392",SF,15세이상관람가,독립/예술영화
2873,언덕길의 아폴론,미키 타카히로,,(주)엔케이컨텐츠,(주)디스테이션,2018-08-29,개봉영화,장편,일본,69,"61,827,100","7,506","32,020,300","3,872",드라마,전체관람가,독립/예술영화
2874,환상속의 그대,강진아,크라켄,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2013-05-16,개봉영화,장편,한국,32,"53,202,700","7,482","37,380,700","5,194",멜로/로맨스,청소년관람불가,독립/예술영화
2875,더 렌탈 : 소리없는 감시자,데이브 프랑코,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-09-16,개봉영화,장편,미국,245,"60,294,280","7,476","19,305,990","2,363",공포(호러),15세이상관람가,일반영화
2876,올드보이,스파이크 리,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2014-01-16,개봉영화,장편,미국,109,"56,281,683","7,471","28,830,183","3,777",액션,청소년관람불가,일반영화
2877,나의 라임 오렌지 나무,마르코스 번스테인,,(주)수키픽쳐스,(주)나이너스엔터테인먼트,2014-05-29,개봉영화,장편,브라질,47,"50,677,000","7,454","26,528,000","3,839",드라마,12세이상관람가,독립/예술영화
2878,풀잎들,홍상수,(주)영화제작전원사,,"(주)콘텐츠판다,(주)영화제작전원사 ,무브먼트",2018-10-25,개봉영화,장편,한국,54,"60,320,250","7,443","46,498,950","5,493",드라마,15세이상관람가,독립/예술영화
2879,노웨어 스페셜,우베르토 파솔리니,,그린나래미디어(주),"그린나래미디어(주),(주)인터파크",2021-12-29,개봉영화,장편,이탈리아,62,"65,256,390","7,440","42,896,130","4,801",드라마,전체관람가,독립/예술영화
2880,배꼽과 무릎사이,,(주)케이알씨지,,스크린조이,2014-05-22,개봉영화,장편,한국,20,"49,524,000","7,438","17,453,000","2,598",멜로/로맨스,청소년관람불가,일반영화
2881,"사랑하고 사랑받고, 차고 차이고",,,(주)콘텐츠게이트,(주)라이크콘텐츠,2021-04-08,개봉영화,장편,일본,91,"69,056,990","7,417","36,068,770","3,670",애니메이션,전체관람가,독립/예술영화
2882,문영,김소연,,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2017-01-12,개봉영화,장편,한국,23,"56,619,900","7,411","45,327,400","5,730",드라마,15세이상관람가,독립/예술영화
2883,맨슨 패밀리,앤드류 존스,,(주)영화사 안다미로,(주)영화사 안다미로,2020-06-15,개봉영화,장편,영국,1,"29,922,000","7,396","18,961,000","5,395",공포(호러),15세이상관람가,일반영화
2884,죽이는 여자,애슐리 해밀턴,,(주)영화사 안다미로,(주)영화사 안다미로,2020-08-23,개봉영화,장편,미국,1,"34,371,000","7,395","1,491,000","1,395",공포(호러),청소년관람불가,일반영화
2885,버니,리차드 링클레이터,,㈜코리아스크린,(주)미디어데이,2013-06-20,개봉영화,장편,미국,30,"50,100,000","7,385","35,662,500","5,173",코미디,15세이상관람가,독립/예술영화
2886,패트와 매트: 뚝딱뚝딱 대소동,마렉 베네슈,,그린나래미디어(주),(주)팝엔터테인먼트,2017-03-16,개봉영화,장편,체코,116,"52,792,500","7,383","17,057,500","2,236",애니메이션,전체관람가,독립/예술영화
2887,뮤지컬 킹키부츠 라이브,브렛 설리반,,(주)씨제이이엔엠,CGV ICECON,2022-04-28,개봉영화,장편,영국,47,"132,475,000","7,379","77,102,000","4,295",공연,12세이상관람가,일반영화
2888,베스와 베라,파스칼 로지에,,(주)나이너스엔터테인먼트,(주)팝엔터테인먼트,2019-01-24,개봉영화,장편,프랑스,167,"63,085,210","7,369","26,379,030","2,982",공포(호러),15세이상관람가,독립/예술영화
2889,꾸루꾸루와 친구들: 무지개 나무의 비밀,문제대,(주)팡고엔터토이먼트,,(주)팝엔터테인먼트,2015-11-19,개봉영화,장편,한국,103,"51,367,500","7,345","9,269,000","1,152",애니메이션,전체관람가,일반영화
2890,라 당스,프레데릭 와이즈만,,(주)영화사 진진,(주)영화사 진진,2013-08-22,개봉영화,장편,프랑스,6,"64,879,000","7,345","52,305,000","5,601",다큐멘터리,전체관람가,독립/예술영화
2891,링: 더 라스트 챕터,츠루타 노리오,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2021-05-12,개봉영화,장편,중국,85,"67,581,970","7,343","10,924,870","1,076",미스터리,15세이상관람가,독립/예술영화
2892,"메리, 퀸 오브 스코틀랜드",조시 루크,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-02-14,개봉영화,장편,미국,12,"57,822,900","7,340","29,344,400","3,458",드라마,15세이상관람가,일반영화
